EAN,Produto_Original,Status,Preço_De_Tabela,Preço_Pix,Preço_Cartão,Farmácia
7.89655E+12,Solução Oftálmica Simbrinza 10mg/ml + 2mg/ml 8ml,Disponível,164.17,155.96,54.72,Vera Cruz
7.89623E+12,Salonpas Air Aerosol 80ml,Disponível,52.61,43.48,45.77,Vera Cruz
7.89114E+12,Predsim 5mg 20 comprimidos,Disponível,27.77,23.22,24.44,Vera Cruz
7.89652E+12,Loratamed 10mg Cimed 12 comprimidos,Disponível,22.44,4.84,5.09,Vera Cruz
7.89671E+12,Torsilax Neo Química 30 comprimidos,Disponível,36.13,15.45,16.26,Vera Cruz
7.89666E+12,Diosmin 450mg + 50mg 30 comprimidos revestidos,Disponível,70.37,66.85,70.37,Vera Cruz
7.89803E+12,"ARCALION - 200mg, 60 drágeas",Esgotado,173.41,149.91,52.6,Vera Cruz
7.89492E+12,Neutrofer Fólico 150mg + 5mg 30 comprimidos revestidos,Esgotado,46.94,39.69,41.78,Vera Cruz
7.89172E+12,Floralyte 45 Sabor Guaraná 500ml,Esgotado,23.12,21.96,23.12,Vera Cruz
7.89611E+12,"Embo 2,5mg 20 comprimidos revestidos",Disponível,78.92,56.23,59.19,Vera Cruz
7.89741E+12,"Cutisanol 3mg/g + 1,5mg/g + 93,33mg/g Pó 150g",Disponível,56.5,46.7,49.16,Vera Cruz
7.89609E+12,Ondif 8mg 10 filmes,Disponível,92.65,80.98,85.24,Vera Cruz
7.89803E+12,Vastarel MR 35mg 60 comprimidos de liberação prolongada,Disponível,203.68,154.79,54.31,Vera Cruz
7.89664E+12,Lonium 40mg 60 comprimidos revestidos,Disponível,143.94,121.7,64.06,Vera Cruz
7.89642E+12,Zinpass 10mg 30 comprimidos revestidos,Disponível,68.71,52.88,55.66,Vera Cruz
7.89295E+12,"Tecnomet 2,5mg 20 comprimidos",Disponível,44.94,32.87,34.6,Vera Cruz
7.89492E+12,Somalgin Cardio 200mg 32 comprimidos revestidos de dupla camada,Disponível,31.67,25.57,26.92,Vera Cruz
7.89618E+12,Lotar 5mg + 50mg 30 cápsulas,Disponível,88.06,68.6,72.21,Vera Cruz
7.89295E+12,"Condroflex 1,5g + 1,2g 30 sachês com pó para solução oral",Disponível,157.65,104.84,55.18,Vera Cruz
7.89664E+12,Miosan 5mg 10 comprimidos revestidos,Disponível,20.4,10.66,11.22,Vera Cruz
7.89664E+12,Lactosil 10.000 FCC contém 30 Sachês 2g cada,Disponível,94.9,78.43,82.56,Vera Cruz
7.89101E+12,Analgésico Tylenol 500mg 20 comprimidos revestidos,Disponível,37.44,28.1,29.58,Vera Cruz
7.89601E+12,Neocopan Composto Gotas 10ml,Disponível,16.23,15.42,16.23,Vera Cruz
7.89609E+12,Doril Enxaqueca 4 comprimidos revestidos,Disponível,10.71,9.05,9.53,Vera Cruz
7.89627E+12,Valtrex 500mg 42 comprimidos revestidos,Esgotado,802.95,762.8,267.65,Vera Cruz
7.89666E+12,Cefaliv Aché 12 comprimidos,Disponível,22.78,20.13,21.19,Vera Cruz
7.89609E+12,Lisador Dip 1g 8 comprimidos,Disponível,19.82,17.7,18.63,Vera Cruz
7.89611E+12,Ecasil 81 81mg 90 comprimidos revestidos,Disponível,51.37,40.99,43.15,Vera Cruz
8.90222E+12,Rosucor 10mg 30 comprimidos revestidos,Disponível,44.79,31.07,32.7,Vera Cruz
7.89732E+12,Maxsulid 400mg 10 Comprimidos,Disponível,51.01,43.13,45.4,Vera Cruz
7.89664E+12,"Xafac 2,5mg 30 comprimidos",Disponível,95.32,62.48,65.77,Vera Cruz
7.89666E+12,"Adinos 0,5mg/g Gel Creme 15g",Disponível,22.2,18.98,19.98,Vera Cruz
7.89172E+12,Glifage XR 850mg 30 comprimidos de liberação prolongada,Disponível,42.48,32.28,33.98,Vera Cruz
7.89666E+12,Domped 5ml/ml Gotas 20ml,Esgotado,61.83,58.74,61.83,Vera Cruz
7.89609E+12,Pomada Dermatológico Nebacetin 15g,Disponível,31.99,27.35,28.79,Vera Cruz
7.89804E+12,Complexo Homeopático Almeida Prado N 46 60 Comprimidos,Disponível,42.26,31.31,32.96,Vera Cruz
7.89111E+12,Allurene 2mg 28 comprimidos,Esgotado,242.74,184.48,64.73,Vera Cruz
7.896E+12,"Hormoskin 40mg/g + 0,5mg/g + 0,1mg/g Creme Dermatológico 30g",Disponível,180.86,161.51,56.67,Vera Cruz
7.89602E+12,Sal de Frutas Eno Laranja 100g,Disponível,30.73,23.66,24.9,Vera Cruz
7.89664E+12,Proctyl 50mg/g + 10mg/g Pomada 10 bisnagas com 3g cada + 10 aplicadores,Disponível,95.69,79.09,83.25,Vera Cruz
7.89804E+12,"Solução Nasal Maresis 0,9% Spray Jato Contínuo 100ml",Disponível,55.34,48.9,51.47,Vera Cruz
7.89633E+12,Emulsão Sanasar 250mg/ml 100ml,Disponível,25.51,19.14,20.15,Vera Cruz
7.89609E+12,Caltren 10mg 30 comprimidos,Disponível,86.57,64.97,68.39,Vera Cruz
7.896E+12,Dermobene 10mg/ml 20ml,Esgotado,35.28,21.12,22.23,Vera Cruz
7.89671E+12,Neo Fólico 5mg Neo Química 20 comprimidos revestidos,Disponível,13.71,8.85,9.32,Vera Cruz
7.896E+12,Esomex 40mg 56 comprimidos revestidos de liberação retardada,Disponível,166.4,158.08,55.47,Vera Cruz
7.89816E+12,"Pediderm 0,2mg/ml  Loção 100ml",Disponível,27.97,22.58,23.77,Vera Cruz
7.89626E+12,Diovan 320mg 28 comprimidos revestidos,Esgotado,151.14,143.58,50.38,Vera Cruz
7.89666E+12,Betadine XR 48mg 30 comprimidos,Disponível,87.46,68.13,71.72,Vera Cruz
7.89114E+12,"Antialérgico Polaramine Xarope 0,4mg/ml Sabor de Frutas 120ml",Disponível,39.98,35.32,37.18,Vera Cruz
7.89609E+12,Antiácido Pó Efervescente Estomazil Sabor Sem Sabor 6 envelopes com 5g cada,Disponível,15.49,11.92,12.55,Vera Cruz
7.89609E+12,Neosaldina 20 drágeas,Disponível,35.99,26.67,28.07,Vera Cruz
7.89664E+12,"Colchis 0,5mg 30 comprimidos",Disponível,84.69,38.62,40.65,Vera Cruz
7.89747E+12,"Adacne 0,1% Gel 30g",Esgotado,54.42,51.7,54.42,Vera Cruz
7.89804E+12,"Adoless 3 0,060mg + 0,015mg 84 comprimidos revestidos",Disponível,131.65,100.05,52.66,Vera Cruz
7.89666E+12,Diosmin SDU 900mg + 100mg Sabor Laranja / Limão 30 sachês com 5g cada,Esgotado,198.62,188.69,66.21,Vera Cruz
7.89132E+12,Primera 30 150mcg + 30mcg 21 comprimidos,Disponível,45.05,35.52,37.39,Vera Cruz
7.89732E+12,Solução Oftálmica Relestat 5mg/ml 5ml,Disponível,82.88,74.01,77.91,Vera Cruz
7.89127E+12,Ponstan 500mg 24 comprimidos,Disponível,47.38,39.16,41.22,Vera Cruz
7.89652E+12,Valerimed 50mg 20 comprimidos revestidos,Esgotado,27.34,19.74,20.78,Vera Cruz
7.89609E+12,Atroveran Dip 1g 20 comprimidos,Disponível,27.49,23.5,24.74,Vera Cruz
7.89611E+12,Xefo 8mg 30 comprimidos revestidos,Disponível,54.33,43.87,46.18,Vera Cruz
7.89741E+12,Hirudoid 300 Gel 3mg/g 40g,Disponível,42.39,40.27,42.39,Vera Cruz
7.89114E+12,"Diprosone 0,5mg/ 30ml",Disponível,55.36,47.86,50.38,Vera Cruz
7.89807E+12,Xarope Seki 120ml,Disponível,32.49,27.46,28.91,Vera Cruz
7.89609E+12,Benegrip Multi Dia 20 comprimidos,Disponível,45.99,41.07,43.23,Vera Cruz
7.89603E+12,Laxante Dulcolax 5mg 20 drágeas,Disponível,20.47,17.38,18.29,Vera Cruz
7.89626E+12,"Diovan HCT 160mg + 12,5mg Novartis 28 comprimidos revestidos",Disponível,157.14,149.28,52.38,Vera Cruz
7.89611E+12,Ferronil 40mg 50 comprimidos revestidos,Disponível,15.15,9.06,9.54,Vera Cruz
7.89492E+12,Enavo 8mg 10 comprimidos EMS,Disponível,59.85,43.78,46.08,Vera Cruz
7.89609E+12,Lisador Cólica 20 comprimidos revestidos,Disponível,27.97,24.98,26.29,Vera Cruz
7.89734E+12,Nites 50mcg/automatizção Spray 120 dose 17ml,Esgotado,70.44,60.23,63.4,Vera Cruz
7.89795E+12,Creme de Arnica Cimed com Mentol 60g,Esgotado,14.9,9.62,10.13,Vera Cruz
7.89132E+12,"Holmes H 40mg + 12,5mg 30 comprimidos revestidos",Disponível,90.04,65.86,69.33,Vera Cruz
7.89642E+12,Respiratus 7mg/m Xarope Aroma Artificial de Cereja 100ml,Disponível,40.63,34.35,36.16,Vera Cruz
7.89666E+12,Bravan 80mg 30 comprimidos revestidos,Disponível,51.91,49.31,51.91,Vera Cruz
7.89664E+12,Eniagor 50mg/ml Solução Capilar 2 frascos 50ml cada,Esgotado,111.29,65.55,69,Vera Cruz
