Farmácia,Status,Total Unidades Vendidas,Frequencia_Vendas,EAN_ou_SKU,Nome_do_Produto,Preco_Tabela,Preco_Cartao_Valor,Desconto_Cartao,Preco_Pix_Valor,Desconto_Pix
SaoPaulo,Indisponível,373.0,15,0,"Cyclofemina 25mg + 5mg Hemafarma 1 Ampola 0,5ml Injetável",0,0,0,0,0
SãoPaulo,Disponível,373.0,16,7896112400073,Vitamina D Doss 3000UI Biolab 30 Cápsulas,"74,55","60,49",-18.9%,"60,49",-18.9%
SãoPaulo,Disponível,373.0,14,7891010702663,Lenço Umedecido Nasal Ever Baby Sem Perfume 25 Unidades,"9,69","9,69",-,"9,69",-
SãoPaulo,Disponível,373.0,14,7897337716284,"Desogestrel 0,15mg + Etinilestradiol 0,02mg Genérico Melcon 63 Comprimidos","176,90","113,59",-35.8%,"113,59",-35.8%
SãoPaulo,Disponível,373.0,13,7896006214762,"Colírio Octifen 0,25mg/ml União Química 5ml","26,16","26,16",-,"26,16",-
SaoPaulo,Indisponível,373.0,14,0,"Actifedrin 6mg/ml + 0,25mg/ml Farmoquímica 100ml Xarope",0,0,0,0,0
SaoPaulo,Indisponível,373.0,14,0,Modelador de Barba - Jungle Boogie 80ml,0,0,0,0,0
SãoPaulo,Disponível,373.0,13,7896181928690,Trezor 10mg Aché 60 Comprimidos,"52,59","51,99",-1.1%,"51,99",-1.1%
SaoPaulo,Indisponível,373.0,14,0,Barra De Proteína Bold Tube Trufa De Chocolate 30g,0,0,0,0,0
SãoPaulo,Disponível,373.0,13,7891317488765,"Olsar H 40mg + 12,5mg Eurofarma 30 Comprimidos","70,78","54,99",-22.3%,"54,99",-22.3%
SãoPaulo,Disponível,373.0,13,7895858015824,Omcilon-A Orabase 1mg/g Aspen 10g Pasta,"27,07","25,24",-6.8%,"25,24",-6.8%
SãoPaulo,Disponível,373.0,12,7501001109660,Aparelho de Depilar Descartável Feminino Gillette Prestobarba3 4 Unidades,"34,59","26,72",-22.8%,"26,72",-22.8%
SãoPaulo,Disponível,373.0,13,7897595616821,Symdulor SL 10mg Zodiac 20 Comprimidos,"33,73","27,03",-19.9%,"27,03",-19.9%
SaoPaulo,Indisponível,373.0,14,0,SH RD Protein Cream - Leave-in 5ml,0,0,0,0,0
SãoPaulo,Disponível,373.0,16,7891000107836,Chocolate Suflair ao Leite 50g,"9,59","8,79",-8.3%,"8,79",-8.3%
SaoPaulo,Indisponível,373.0,13,0,Bombom de chocolate ao leite sabor com recheio de cereja 55g - Montevergine,0,0,0,0,0
SãoPaulo,Disponível,373.0,14,7898942936524,Cera Cremosa Depilsam de Micro-Ondas Maracujá 100G,"19,59","19,59",-,"19,59",-
SaoPaulo,Indisponível,373.0,15,0,Esponja Para Banho Cabo Longo Corpus,0,0,0,0,0
SaoPaulo,Indisponível,372.0,13,0,Quadradinhos De Algodão Sussex 95g,0,0,0,0,0
SaoPaulo,Indisponível,372.0,14,0,Unhas Postiças Curta Autocolante Quadrada Pintada Absolute New York Magiquick Rose Pink 24 Unidades,0,0,0,0,0
SaoPaulo,Indisponível,372.0,13,0,Gel de Limpeza Facial Dove Regenerative Efeito Matte & Antioleosidade 300ml,0,0,0,0,0
SaoPaulo,Indisponível,372.0,14,0,Bolsa Térmica Gel,0,0,0,0,0
SaoPaulo,Indisponível,372.0,14,0,Loção para Cabelos Brancos 60 ml,0,0,0,0,0
SãoPaulo,Disponível,372.0,12,7891010047764,Hastes Flexíveis Cotonetes 300 Unidades,"23,59","22,99",-2.5%,"22,99",-2.5%
SaoPaulo,Indisponível,372.0,15,0,Demaquilante 100ml,0,0,0,0,0
SaoPaulo,Indisponível,372.0,15,0,"Hidratante Labial Beta Morango 9,5g",0,0,0,0,0
