Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
SãoPaulo;7896023701436;Elixir Paregórico Tintura De Papaver Somniferum L 0,5mg/ml 30ml Elixir;Disponível;28,01;27,73;-1.0%;27,73;-1.0%;Medicamentos;14524;https://www.drogariasaopaulo.com.br/elixir-paregorico-catarinense-30ml/p
SãoPaulo;7891317465346;Venlaxin XR Cloridrato De Venlafaxina 37,5mg 30 Cápsulas;Disponível;53,13;48,99;-7.8%;48,99;-7.8%;Medicamentos;583472;https://www.drogariasaopaulo.com.br/venlaxin-37-5mg-30-capsulas-eurofarma/p
SãoPaulo;7896004819914;Shampoo Neosil Antiqueda 200ml;Disponível;119,99;104,99;-12.5%;104,99;-12.5%;Dermocosméticos/Shampoo;698008;https://www.drogariasaopaulo.com.br/shampoo-neosil-antiqueda-200ml/p
SãoPaulo;070330709485;Barbeador Bic Comfort 2 Pele Sensível Verde 2 Unidades;Disponível;7,99;7,99;-;7,99;-;Barbeador;119059;https://www.drogariasaopaulo.com.br/aparelho-de-barbear-bic-comfort-2-sensivel-com-2-unidades/p
SãoPaulo;7891024112861;Sabonete Líquido para Corpo Palmolive Nutri-Milk Hidratante 250ml;Disponível;14,99;13,90;-7.3%;13,90;-7.3%;Sabonete;156469;https://www.drogariasaopaulo.com.br/sabonete-liquido-palmolive-nutri-milk-250ml/p
SãoPaulo;7896070600607;Flagyl Metronidazol 250mg 20 Comprimidos;Disponível;28,55;24,59;-13.9%;24,59;-13.9%;Medicamentos;6920;https://www.drogariasaopaulo.com.br/flagyl-250mg-20-comprimidos/p
SãoPaulo;7896523213408;Levofloxacino 500mg Genérico Cimed 7 Comprimidos;Disponível;88,28;32,96;-62.7%;32,96;-62.7%;Medicamentos;646091;https://www.drogariasaopaulo.com.br/levofloxacino-500mg-generico-cimed-7-comprimidos/p
SãoPaulo;7898244720852;Motix Arnica Montana L 301,5mg 50 Comprimidos;Disponível;83,99;83,99;-;83,99;-;Medicamentos;675768;https://www.drogariasaopaulo.com.br/motix-melora-50-comprimidos/p
SãoPaulo;3282770206074;Protetor Solar Facial Actine FPS 30 Color Antioleosidade Toque Seco 40g;Disponível;54,99;54,99;-;54,99;-;Dermocosméticos/Protetor Solar;690562;https://www.drogariasaopaulo.com.br/protetor-solar-facial-darrow-actine-fps30-com-cor-40gr-darrow/p
SãoPaulo;7891142202833;Garasone Fosfato Dissódico de Betametasona 1mg/ml + Gentamicina 3mg/ml 20ml Solução Oftálmica;Disponível;32,39;29,59;-8.6%;29,59;-8.6%;Medicamentos;633100;https://www.drogariasaopaulo.com.br/garasone-20ml-colirio-hypermarcas/p
