Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
SãoJoão;7898505091479;Noretisterona + Estradiol 50mg Genérico Cifarma;Disponível;29,65;25,69;-13.4%;25,69;-13.4%;Saúde Da Mulher;1242111;https://lojavtex.saojoaofarmacias.com.br/noretisterona-estradiol-50mg-generico-cifarma-10104697/p
SãoJoão;7896676414653;Ana-Flex 35 + 300 + 50mg 30 Comprimidos Cristália;Disponível;21,49;21,49;-;21,49;-;Analgésicos;1242102;https://lojavtex.saojoaofarmacias.com.br/ana-flex-35---300---50mg-30-comprimidos-cristalia-10104481/p
SãoJoão;7898148301096;Sulfametoxazol 800mg+ Trimetoprima 160mg 10 Comprimidos Genérico Prati;Disponível;23,10;19,99;-13.5%;19,99;-13.5%;Alergias E Infecções;1242001;https://lojavtex.saojoaofarmacias.com.br/sulfametoxazol-800mg--trimetoprima-160mg-10-comprimidos-generico-prati-10099281/p
SãoJoão;7896637025096;Miosan Caf 5mg/30mg 15 Comprimidos Revestidos;Disponível;31,27;28,89;-7.6%;28,89;-7.6%;Anti-inflamatórios;1241963;https://lojavtex.saojoaofarmacias.com.br/miosan-caf-5mg-30mg-15-comprimidos-revestidos-10097841/p
SãoJoão;7896004721828;Clonazepam Genérico EMS 2mg 30 Comprimidos (B1);Disponível;22,84;16,90;-26.0%;16,90;-26.0%;Sistema Nervoso Central;1241927;https://lojavtex.saojoaofarmacias.com.br/clonazepam-generico-ems-2mg-30-comprimidos--b1--10096431/p
SãoJoão;7896658008450;Somalium 3mg 30 Comprimidos Biosintética (B1);Disponível;35,18;29,99;-14.8%;29,99;-14.8%;Sistema Nervoso Central;1241912;https://lojavtex.saojoaofarmacias.com.br/somalium-3mg-30-comprimidos-biosintetica--b1--10096058/p
SãoJoão;7896004721323;Paracetamol + Cafeína Genérico EMS 20 Comprimidos Revestidos;Disponível;28,99;25,49;-12.1%;25,49;-12.1%;Analgésicos;1241880;https://lojavtex.saojoaofarmacias.com.br/paracetamol---cafeina-generico-ems-20-comprimidos-revestidos-10094365/p
SãoJoão;7896676413762;Mytedom 5mg 20 Cápsulas Cristália (A1);Disponível;26,13;22,79;-12.8%;22,79;-12.8%;Analgésicos;1241801;https://lojavtex.saojoaofarmacias.com.br/mytedom-5mg-20-capsulas-cristalia--a1--10090053/p
SãoJoão;7896004718811;Alprazolam Genérico EMS 0,25mg 30 Comprimidos (B1);Disponível;18,03;16,39;-9.1%;16,39;-9.1%;Sistema Nervoso Central;1241788;https://lojavtex.saojoaofarmacias.com.br/alprazolam-generico-ems-0-25mg-30-comprimidos--b1--10089555/p
SãoJoão;7894916147736;Diazepam Genérico Germed 10mg 30 Comprimidos (B1);Disponível;22,91;18,90;-17.5%;18,90;-17.5%;Sistema Nervoso Central;1241778;https://lojavtex.saojoaofarmacias.com.br/diazepam-generico-germed-10mg-30-comprimidos--b1--10088172/p
SãoJoão;7896004713762;Bromazepam Genérico EMS 6mg 30 Comprimidos (B1);Disponível;40,69;25,90;-36.3%;25,90;-36.3%;Sistema Nervoso Central;1241710;https://lojavtex.saojoaofarmacias.com.br/bromazepam-generico-ems-6mg-30-comprimidos--b1--10085362/p
SãoJoão;7896004772332;Xarope Cloperastina Genérico EMS 120ml;Disponível;23,57;23,57;-;23,57;-;Gripe E Resfriado;1241603;https://lojavtex.saojoaofarmacias.com.br/xarope-cloperastina-generico-ems-120ml-10028208/p
SãoJoão;7896006248927;Betaprospan 1ml Injetável com Seringa União Química;Disponível;29,36;26,99;-8.1%;26,99;-8.1%;Alergias E Infecções;1241469;https://lojavtex.saojoaofarmacias.com.br/betaprospan-1ml-injetavel-com-seringa-uniao-quimica-10027128/p
SãoJoão;7898216360864;Lidocaína Gel Genérico Pharlab 30g;Disponível;24,07;22,39;-7.0%;22,39;-7.0%;Medicamentos Especiais;1241431;https://lojavtex.saojoaofarmacias.com.br/lidocaina-gel-generico-pharlab-30g-10026890/p
SãoJoão;7896637029018;Insit 25mg 15 Cápsulas Apsen (C1);Disponível;22,82;22,82;-;22,82;-;Sistema Nervoso Central;1241366;https://lojavtex.saojoaofarmacias.com.br/insit-25mg-15-capsulas-apsen--c1--10026520/p
SãoJoão;7896422524629;Albendazol 400mg 3 Comprimidos Mastigáveis Genérico Medley;Disponível;25,19;25,19;-;25,19;-;Antiparasitários;1241343;https://lojavtex.saojoaofarmacias.com.br/albendazol-400mg-3-comprimidos-mastigaveis-generico-medley-10026380/p
