Farmácia,Status,Total Unidades Vendidas,Frequencia_Vendas,EAN_ou_SKU,Nome_do_Produto,Preco_Tabela,Preco_Cartao_Valor,Desconto_Cartao,Preco_Pix_Valor,Desconto_Pix
VeraCruz,Disponível,435.0,16,7891010986155,Analgésico Tylenol 500mg 20 comprimidos revestidos,"37,44","29,58",-21.0%,"28,10",-24.9%
VeraCruz,Disponível,434.0,14,7896269900822,Valtrex 500mg 42 comprimidos revestidos,0,0,0,0,0
VeraCruz,Disponível,434.0,15,7896658001079,Cefaliv Aché 12 comprimidos,"22,78","21,19",-7.0%,"20,13",-11.6%
VeraCruz,Disponível,434.0,16,7896112416463,Ecasil 81 81mg 90 comprimidos revestidos,"51,37","43,15",-16.0%,"40,99",-20.2%
VeraCruz,Disponível,434.0,16,7896094906310,Doril Enxaqueca 4 comprimidos revestidos,"10,71","9,53",-11.0%,"9,05",-15.5%
VeraCruz,Disponível,433.0,14,8902220109506,Rosucor 10mg 30 comprimidos revestidos,"44,79","32,70",-27.0%,"31,07",-30.6%
VeraCruz,Disponível,432.0,16,7897322701738,Maxsulid 400mg 10 Comprimidos,"51,01","45,40",-11.0%,"43,13",-15.4%
VeraCruz,Disponível,432.0,15,7896637032919,"Xafac 2,5mg 30 comprimidos","95,32","65,77",-31.0%,"62,48",-34.5%
VeraCruz,Disponível,432.0,14,7891721201530,Glifage XR 850mg 30 comprimidos de liberação prolongada,"42,48","33,98",-20.0%,"32,28",-24.0%
VeraCruz,Disponível,432.0,15,7896658028120,Domped 5ml/ml Gotas 20ml,0,0,0,0,0
VeraCruz,Disponível,432.0,13,7896658003165,"Adinos 0,5mg/g Gel Creme 15g","22,20","19,98",-10.0%,"18,98",-14.5%
VeraCruz,Disponível,431.0,14,7896523206783,Pomada Dermatológico Nebacetin 15g,0,0,0,0,0
VeraCruz,Disponível,431.0,14,7898037080064,Complexo Homeopático Almeida Prado N 46 60 Comprimidos,"28,90","28,90",-0.0%,"27,46",-5.0%
VeraCruz,Disponível,429.0,13,7898040322540,"Solução Nasal Maresis 0,9% Spray Jato Contínuo 100ml","55,34","51,47",-7.0%,"48,90",-11.6%
