Produto;Quantidade_Total;Frequencia_Vendas;Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
Dobeven 500mg 60 Cápsulas Duras;236.0;12;São João;8903855085241.0;Venlift OD 150mg 60 Cápsulas Torrent (C1);Disponível;288,56;230,85;-20.0%;230,85;-20.0%;Medicamentos > Sistema Nervoso Central > Depressão;10048951.0;https://www.saojoaofarmacias.com.br/venlift-od-150mg-60-capsulas-torrent--c1--10048951/p
Pantoprazol 20mg 42 Comprimidos Revestidos Genérico EMS;236.0;14;São João;7896004705989.0;Pantoprazol Genérico EMS 20mg 28 Comprimidos Revestidos;Disponível;33,10;20,89;-36.9%;20,89;-36.9%;Medicamentos > Estômago E Gastrointestinais > Gastrite E Úlcera;1006924.0;https://www.saojoaofarmacias.com.br/pantoprazol-generico-ems-20mg-28-comprimidos-revestidos-1006924/p
Dropropizina 1,5mg/ml Genérico Aché 120ml;236.0;13;São João;7891058005726.0;Dipirona 500mg 10 Comprimidos Genérico Medley AV*;Disponível;9,89;4,99;-49.5%;4,99;-49.5%;Medicamentos > Analgésicos > Dor E Febre;10087408.0;https://www.saojoaofarmacias.com.br/dipirona-500mg-10-comprimidos-generico-medley-av--10087408/p
Amclavu BD 80+11,4mg/ml Pó para Suspensão Oral 70ml Genom;236.0;12;São João;7896004704593.0;Amoxicilina Suspensão Oral 400mg/5ml 100ml Genérico EMS;Disponível;53,74;32,90;-38.8%;32,90;-38.8%;Medicamentos > Alergias E Infecções > Infecção;1002112.0;https://www.saojoaofarmacias.com.br/amoxicilina-suspensao-oral-400mg-5ml-100ml-generico-ems-1002112/p
Lisador Dip 1g 4 Comprimidos Farmasa AV*;236.0;13;São João;7896094916234.0;Analgésico Lisador Dip 1g 20 Comprimidos Farmasa;Disponível;45,44;45,44;-0.0%;45,44;-0.0%;Medicamentos > Analgésicos > Dor E Febre;100023280.0;https://www.saojoaofarmacias.com.br/analgesico-lisador-dip-1g-20-comprimidos-farmasa-100023280/p
Atorvastatina 80mg 30 Comprimidos Revestidos Genérico EMS;236.0;13;São João;7896004729459.0;Atorvastatina Genérico EMS 80mg 30 Comprimidos Revestidos;Disponível;369,69;184,90;-50.0%;184,90;-50.0%;Medicamentos > Cardiológicos > Colesterol;10100926.0;https://www.saojoaofarmacias.com.br/atorvastatina-generico-ems-80mg-30-comprimidos-revestidos-10100926/p
Prazol 15mg 28 Cápsulas Cellera;236.0;12;São João;7896112492740.0;Triazol Biolab 150mg 1 Cápsula;Disponível;38,17;33,99;-11.0%;33,99;-11.0%;Medicamentos > Antifúngicos > Micose;2815.0;https://www.saojoaofarmacias.com.br/triazol-biolab-150mg-1-capsula-2815/p
Levoid 175mcg 30 Comprimidos Aché;235.0;13;São João;7896658008849.0;Levoid 112mcg 30 Comprimidos Aché;Disponível;33,99;30,09;-11.5%;30,09;-11.5%;Medicamentos > Reposição Hormonal > Tireoide;10090189.0;https://www.saojoaofarmacias.com.br/levoid-112mcg-30-comprimidos-ache-10090189/p
Neo Fedipina 20mg 30 Comprimidos;235.0;14;São João;7896637031516.0;Inilok 40mg 60 Comprimidos;Disponível;131,36;131,36;-0.0%;131,36;-0.0%;Medicamentos > Estômago E Gastrointestinais > Gastrite E Úlcera;10011854.0;https://www.saojoaofarmacias.com.br/inilok-40mg-60-comprimidos-10011854/p
Dalyne 3mg/0,03mg 21 Comprimidos Revestidos;235.0;13;São João;7896094203044.0;Elani 28 3mg+0,03mg 84 Comprimidos Revestidos Libbs;Disponível;229,49;160,64;-30.0%;160,64;-30.0%;Medicamentos > Saúde Da Mulher > Anticoncepcional;100001747.0;https://www.saojoaofarmacias.com.br/elani-28-3mg-0-03mg-84-comprimidos-revestidos-libbs-100001747/p
Nebivolol 5mg 30 Comprimidos Genérico EMS;235.0;13;São João;7896004706306.0;Prednisona Genérico EMS 5mg 20 Comprimidos;Disponível;19,01;13,90;-26.9%;13,90;-26.9%;Medicamentos > Alergias E Infecções > Corticoide;1002402.0;https://www.saojoaofarmacias.com.br/prednisona-generico-ems-5mg-20-comprimidos-1002402/p
Gabapentina 300mg 30 Cápsulas Genérico Cimed (C1);235.0;13;São João;7899547514322.0;Gabapentina Genérico Prati-Donaduzzi 300mg 60 Cápsulas (C1);Disponível;156,63;99,90;-36.2%;99,90;-36.2%;Medicamentos > Sistema Nervoso Central > Epilepsia;10022889.0;https://www.saojoaofarmacias.com.br/gabapentina-generico-prati-donaduzzi-300mg-60-capsulas--c1--10022889/p
