Farmácia,Status,Total Unidades Vendidas,Frequencia_Vendas,EAN_ou_SKU,Nome_do_Produto,Preco_Tabela,Preco_Cartao_Valor,Desconto_Cartao,Preco_Pix_Valor,Desconto_Pix
FarmaPonte,Esgotado,199.0,14,0.0,Adoçante Líquido Zero Cal Sucralose 100ml,0,0,0,0,0
FarmaPonte,Esgotado,198.0,14,0.0,Brinco Infantil System 75 Pérola,0,0,0,0,0
FarmaPonte,Esgotado,198.0,13,0.0,Suplemento Alimentar Nutren Multivitamínico A-Z  60 Cápsulas,0,0,0,0,0
Drogaria São Paulo,Disponível,198.0,12,7896472508143.0,Captopril 25mg Genérico Multilab 30 Comprimidos,"17,03","5,24",-69.2%,"5,24",-69.2%
Drogaria São Paulo,Disponível,198.0,13,7896206400385.0,Nexium 20mg Astrazeneca 14 Comprimidos,"432,87","209,90",-51.5%,"209,90",-51.5%
Drogaria São Paulo,Disponível,198.0,13,7899551309266.0,Tylex 500mg + 30mg Cellera 24 Comprimidos,"62,03","58,79",-5.2%,"58,79",-5.2%
FarmaPonte,Esgotado,198.0,12,0.0,"Belara 2mg+0,3mg Grunenthal 21 + 7 Comprimidos",0,0,0,0,0
FarmaPonte,Esgotado,198.0,14,0.0,Barra De Proteína Dux Nutrition Lab Chocolate Branco e Frutas Vermelhas 60g,0,0,0,0,0
FarmaPonte,Esgotado,198.0,13,0.0,Removedor De Esmalte Instantâneo Ever Care 75ml,0,0,0,0,0
FarmaPonte,Esgotado,198.0,12,0.0,Composto Lácteo Piracanjuba Excellence Lata 800g,0,0,0,0,0
Drogaria São Paulo,Disponível,198.0,12,7896004775463.0,Clazi XR 60mg Brace Pharma 30 Cápsulas,"85,92","68,74",-20.0%,"68,74",-20.0%
Drogaria São Paulo,Disponível,198.0,14,7896094931619.0,"Aturgyl 0,5mg/ml Cosmed 15ml Spray","19,02","16,69",-12.3%,"16,69",-12.3%
FarmaPonte,Esgotado,198.0,12,0.0,Espuma de Limpeza Facial Dove Hidratação Essencial 50 GR,0,0,0,0,0
Drogaria São Paulo,Disponível,197.0,12,7896181926788.0,Montelucaste 5mg Genérico Biosintética 30 Comprimidos Mastigáveis,"73,89","36,99",-49.9%,"36,99",-49.9%
FarmaPonte,Esgotado,197.0,13,0.0,Preservativo Olla Large com 6 Unidades,0,0,0,0,0
Drogaria São Paulo,Disponível,197.0,12,7897595618658.0,Citrato Sildenafila 100mg Genérico Sandoz Do Brasil 4 Comprimidos,"142,30","39,89",-72.0%,"39,89",-72.0%
Drogaria São Paulo,Disponível,197.0,12,7891058006389.0,Puran T4 37.5mcg Sanofi Aventis 30 Comprimidos Revestidos,"14,39","14,39",-,"14,39",-
FarmaPonte,Esgotado,197.0,15,0.0,Delineador Líquido Matte Essence Lash Princess Liner Preto 3 ml,0,0,0,0,0
FarmaPonte,Esgotado,197.0,12,0.0,"Benicar HCT 40/12,5mg Daiichi Sankyo  30 Comprimidos",0,0,0,0,0
