Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
FarmaPonte;7897337716345;Microdiol 015 + 003mg caixa com 21 comprimidos;Disponível;52,41;41,09;-21.6%;41,93;-20.0%;Anticoncepcional;15783;https://www.farmaponte.com.br/microdiol-015mg-003mg-caixa-com-21-comprimidos-revestidos/p
FarmaPonte;7891721000614;Glifage Cloridrato de Metformina 500mg 30 comprimidos;Disponível;30,34;27,95;-7.9%;28,52;-6.0%;Antidiabéticos;17882;https://www.farmaponte.com.br/glifage-500mg-30cpr/p
FarmaPonte;7896004715032;Dorilen 500Mg + 10Mg + 5Mg, Caixa Com 12 Comprimidos;Disponível;25,49;17,57;-31.1%;17,93;-29.7%;Analgésico Antitérmico;14329;https://www.farmaponte.com.br/dorilen-500mg-10mg-5mg-caixa-com-12-comprimidos/p
FarmaPonte;7896094917545;Vit Neo Quimica Cabelos E Unhas Com 60 Capsulas;Disponível;32,90;32,24;-2.0%;32,90;-0.0%;Relaxante Muscular;22368;https://www.farmaponte.com.br/centrotabs-cabelos-e-unhas-com-60-capsulas/p
FarmaPonte;5702191025521;Creme Dermatológico Azelan 200mg 30g;Disponível;0;88,20;0;0;0;Antiacneico;18795;https://www.farmaponte.com.br/azelan-cr-30gr/p
FarmaPonte;7896714223841;Nimesulida Neo Quimica 100Mg, Caixa Com 12 Comprimidos;Disponível;24,68;12,09;-51.0%;12,34;-50.0%;Reumatismo;16154;https://www.farmaponte.com.br/nimesulida-neo-quimica-100mg-caixa-com-12-comprimidos/p
FarmaPonte;7892953003558;Dutam 0,5Mg + 0,4Mg, Caixa Com 30 Capsulas Duras De Liberacao Prolongada;Disponível;0;96,28;0;0;0;Antiespamódico Urinário;15112;https://www.farmaponte.com.br/dutam-05mg-04mg-caixa-com-30-capsulas-duras-de-liberacao-prolongada/p
FarmaPonte;7897595608307;Razapina 30mg caixa com 28 comprimidos revestidos;Disponível;0;140,02;0;0;0;Psicotropico;19181;https://www.farmaponte.com.br/razapina-30mg-28cpr/p
FarmaPonte;7891317421854;Meloxican 15mg Eurofarma 10 Comprimidos;Disponível;0;23,08;0;0;0;Reumatismo;22759;https://www.farmaponte.com.br/meloxicam-15mg-10cpr-euro-g/p
FarmaPonte;7500435216289;Vick Pyrena Grip 7 400mg+4mg+4mg, Com 5 Capsulas;Disponível;10,58;10,37;-2.0%;10,58;-0.0%;Analgésico Antitérmico;26395;https://www.farmaponte.com.br/vick-pyrena-grip-7-400mg4mg4mg-com-5-capsulas/p
FarmaPonte;7899547533118;Perlid 1mg mL Solução 30mL;Disponível;66,39;55,30;-16.7%;56,43;-15.0%;Psicotropico;20850;https://www.farmaponte.com.br/perlid-gts-30ml/p
FarmaPonte;-;Alginac 5000mcg + 100mg + 100mg + 75mg, Caixa Com 3 Ampolas Com 1mL De Solucao De Uso Intramuscular + 3 Ampolas Com 2mL De Diluente;Disponível;37,41;33,73;-9.8%;34,42;-8.0%;Reumatismo;-;https://www.farmaponte.com.br/alginac-5000mcg-100mg-100mg-75mg-caixa-com-3-ampolas-com-1ml-de-solucao-de-uso-intramuscular-3-ampolas-com-2ml-de-diluente/p
FarmaPonte;7896523220352;Cloridrato De Fexofenadina Cimed 180Mg, Caixa Com 10 Comprimidos Revestidos;Disponível;77,66;16,31;-79.0%;32,62;-58.0%;Anti Histaminico E Antialergico Topico;15239;https://www.farmaponte.com.br/cloridrato-de-fexofenadina-cimed-180mg-caixa-com-10-comprimidos-revestidos/p
FarmaPonte;7898216368013;Frisium 20mg caixa com 20 comprimidos;Disponível;45,07;37,54;-16.7%;38,31;-15.0%;Psicotropico;19127;https://www.farmaponte.com.br/frisium-20mg-20cpr-b1/p
FarmaPonte;7891106001946;Aspirina Prevent 100Mg, Caixa Com 30 Comprimidos Revestidos;Disponível;24,47;21,10;-13.8%;21,53;-12.0%;Vasodilatador Periferico;17439;https://www.farmaponte.com.br/aspirina-prevent-100mg-caixa-com-30-comprimidos-revestidos/p
FarmaPonte;7896094921337;Buscofem 400Mg, Blister Com 2 Capsulas Gelatinosas Moles;Disponível;7,96;7,80;-2.0%;7,96;-0.0%;Tratamento De Distúrbios Hormonais;12378;https://www.farmaponte.com.br/buscofem-400mg-blister-com-2-capsulas-gelatinosas-moles/p
